Player,Team,Height,Weight,MinutesPlayed,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,Reb_Off_3_48,Reb_Off_2_48,Reb_Def_3_48,Reb_Def_2_48
"Kelly Oubre Jr.",PHX,201,92,1180,24.7,8.7,0.384,0.296,0.3661,1.3831,2.7661,2.8475
"Tobias Harris",LAC,206,106,1903,23.5,12.5,0.302,0.256,0.3027,0.6054,2.9764,5.8770
"Landry Shamet",PHI,196,85,1108,15,7.4,0.706,0.156,0.2166,0.3032,1.3430,1.3430
"Bojan Bogdanovic",IND,203,97,2573,22.4,9.5,0.367,0.29,0.1866,0.4104,2.6677,2.2386
"Maurice Harkless",POR,206,99,1415,13.9,7.1,0.309,0.188,0.7124,1.8996,2.1710,3.7314
"Jake Layman",POR,206,97,1327,15.9,5.6,0.427,0.167,0.7234,1.1575,1.9171,3.5810
"Jonas Jerebko",GS,208,104,1218,15.2,10.1,0.53,0.225,1.1823,1.5764,3.0739,4.6897
"Patrick Beverley",LAC,185,83,2137,12.2,18.4,0.591,0.258,0.7412,0.7637,2.7403,3.9532
"Patty Mills",SA,183,81,1908,18.5,17.6,0.609,0.155,0.2013,0.4025,1.9119,2.0126
"Daniel Theis",BOS,203,110,908,15.8,10.5,0.252,0.286,1.2687,3.2775,2.4846,4.2819
"Rajon Rondo",LAL,185,84,1369,17.4,35.5,0.329,0.083,0.5259,0.6662,3.5062,3.4361
